Students,Total Score,Correct Answers,Incorrect Answers
FDK.LTS,4084,4,0
HGJ.EPP,3999,4,0
HNQ.KQS,3998,4,0
VRC.RNH,3884,4,0
YYO.OWN,3822,4,0
VEG.LYR,3811,4,0
XZA.YRH,3809,4,0
PZA.XJJ,3716,4,0
QDP.CTK,3695,4,0
QXC.YPD,3692,4,0
AYM.ASL,3674,4,0
NLI.VPR,3663,4,0
LCN.JQY,3654,4,0
VHQ.WTN,3653,4,0
RBK.YNS,3648,4,0
OIF.ZOE,3611,4,0
VXE.VGZ,3611,4,0
EAM.JFW,3604,4,0
FTY.PAN,3577,4,0
JFA.BPN,3548,4,0
XHV.LZD,3544,4,0
UAQ.NVN,3527,4,0
XZG.DME,3517,4,0
LOV.PZQ,3503,4,0
FLC.NLG,3500,4,0
DJB.TMK,3448,4,0
CSS.AIP,3444,4,0
DYH.PKI,3437,4,0
EBU.JIA,3435,4,0
XUZ.XAK,3368,4,0
DGX.JTN,3364,4,0
VZC.MNU,3358,4,0
HYU.ZKT,3341,4,0
CBO.VHX,3333,4,0
OSC.YFH,3282,4,0
VGB.EAY,3214,4,0
VWP.FWM,2908,3,0
YGP.ZXG,2834,3,1
GNQ.FJQ,2782,3,1
MUW.QSY,2765,3,1
LNZ.XVE,2670,3,1
CRT.GRB,2641,3,1
QZB.JND,2591,3,1
BMP.BJD,2475,3,1
XVT.JEY,2472,3,1
XKS.MVS,2470,3,1
LAK.GUO,2458,3,0
LTA.SKN,2440,3,1
CFU.AOY,2436,3,1
JKI.BXA,2406,3,1
GOH.RST,2390,3,1
WLV.EQV,2307,3,1
YHL.XGD,2276,3,1
ZOG.SBK,2231,3,1
NWU.UEM,1774,2,2
SZO.UCW,1672,2,2
VQL.DSO,1581,2,1
JBW.BCF,1390,2,2
LQF.BDY,1352,2,1
ZYY.RUH,0,0,3
